Date,Open,High,Low,Close,Volume,Currency
2017-09-03,5.0743,5.4328,4.1306,4.3866,179859,USD
2017-09-10,4.3866,4.5634,2.72,3.7357,149686,USD
2017-09-17,3.7357,4.3536,3.5303,3.9198,152620,USD
2017-09-24,3.9198,5.2424,0.5807,5.0879,146178,USD
2017-10-01,5.0879,5.117,4.6268,4.9204,156097,USD
2017-10-08,4.9204,4.9878,3.6002,3.9728,157018,USD
2017-10-15,3.9728,4.1663,3.4364,3.6143,237003,USD
2017-10-22,3.6143,3.9208,3.3934,3.468,248036,USD
2017-10-29,3.468,4.0055,2.75,3.6152,291365,USD
2017-11-05,3.6152,5.1639,3.3813,4.0537,239402,USD
2017-11-12,4.0537,5.4444,3.7023,5.2465,208328,USD
2017-11-19,5.2465,5.6771,5.0314,5.3116,257906,USD
2017-11-26,5.3116,6.2932,4.4229,6.1302,328439,USD
2017-12-03,6.1302,9.564,5.9398,8.3438,272812,USD
2017-12-10,8.3438,14.7512,7.5296,13.3148,242710,USD
2017-12-17,13.3148,17.1861,9.0464,14.0844,219792,USD
2017-12-24,14.1493,14.668,10.8051,11.4999,241323,USD
2017-12-31,11.4999,13.365,10.4,12.8744,262194,USD
2018-01-07,12.926,13.913,9.8282,11.0989,291761,USD
2018-01-14,11.0989,11.4055,6.4028,9.4914,229432,USD
2018-01-21,9.5281,9.9167,7.5925,9.3671,177255,USD
2018-01-28,9.325,9.8478,5.565,6.7593,185153,USD
2018-02-04,6.7593,6.9374,3.6057,5.7551,199619,USD
2018-02-11,5.7551,8.4336,5.1819,7.8774,228056,USD
2018-02-18,7.8774,8.3897,6.4349,6.6134,219914,USD
2018-02-25,6.6134,6.9888,6.2584,6.9579,181506,USD
2018-03-04,6.9579,6.986,5.1869,5.5494,204590,USD
2018-03-11,5.5494,5.985,4.6211,4.6807,218655,USD
2018-03-18,4.6806,5.2245,3.9597,4.7726,259078,USD
2018-03-25,4.7726,4.8348,3.5562,3.6398,263218,USD
2018-04-01,3.6398,4.0863,3.3766,3.5556,246025,USD
2018-04-08,3.5712,4.7207,3.4385,4.6993,236904,USD
2018-04-15,4.6993,5.3618,4.6624,5.1233,217498,USD
2018-04-22,5.1233,6.7471,4.9566,6.4531,224410,USD
2018-04-29,6.4531,8.5532,6.3316,7.2946,275574,USD
2018-05-06,7.2946,7.3476,5.7957,6.1965,208363,USD
2018-05-13,6.2058,6.8096,5.677,5.9139,175084,USD
2018-05-20,5.9139,6.0637,4.3964,4.4638,148410,USD
2018-05-27,4.4637,4.6249,3.8759,4.337,188446,USD
2018-06-03,4.3371,4.9431,4.0658,4.4234,229987,USD
2018-06-10,4.4233,4.4233,3.2136,3.3815,239743,USD
2018-06-17,3.3815,3.8386,2.8674,2.9426,114253,USD
2018-06-24,2.9426,3.0497,2.4646,2.9159,193032,USD
2018-07-01,2.9159,3.1864,2.7902,3.014,177888,USD
2018-07-08,3.014,3.0573,2.5605,2.7035,129666,USD
2018-07-15,2.7035,3.2922,2.6949,2.926,177419,USD
2018-07-22,2.926,2.9418,2.4973,2.6637,175747,USD
2018-07-29,2.6637,2.7109,1.7517,1.8237,181631,USD
2018-08-05,1.8237,1.8828,1.6394,1.826,131293,USD
2018-08-12,1.826,2.2856,1.7812,2.0986,161401,USD
2018-08-19,2.0986,2.361,2.0208,2.3358,124914,USD
2018-08-26,2.3358,2.3487,2.0141,2.216,112645,USD
2018-09-02,2.216,2.3137,1.8705,1.9418,142729,USD
2018-09-09,1.9419,2.5855,1.8839,2.3022,175117,USD
2018-09-16,2.3022,2.4042,2.0747,2.1799,114461,USD
2018-09-23,2.1799,2.4567,2.0666,2.181,110340,USD
2018-09-30,2.181,2.2413,2.0754,2.1065,18333,USD
2018-10-07,2.1065,2.1672,1.8653,2.0103,17302,USD
2018-10-14,2.0103,2.1256,1.9176,2.0098,20816,USD
2018-10-21,2.0098,2.1218,1.9128,2.0213,13687,USD
2018-10-28,2.0213,2.0845,1.7991,1.8969,11987,USD
2018-11-04,1.8969,1.9524,1.7932,1.8276,8383,USD
2018-11-11,1.8276,2.1142,1.5499,1.6182,16849,USD
2018-11-18,1.6182,1.8405,1.0934,1.1541,37195,USD
2018-11-25,1.1541,1.6885,0.9897,1.3963,44416,USD
2018-12-02,1.3963,2.404,1.384,1.5907,137129,USD
2018-12-09,1.5907,2.5933,1.5459,2.4785,90628,USD
2018-12-16,2.4785,4.7831,2.3273,3.854,204597,USD
2018-12-23,3.854,4.1001,2.9041,3.035,67002,USD
2018-12-30,3.035,3.4006,3.0031,3.1292,33089,USD
2019-01-06,3.1408,3.3479,2.5797,2.7674,19929,USD
2019-01-13,2.7674,2.8334,2.5441,2.5778,50837,USD
2019-01-20,2.5778,3.3112,2.5749,2.7541,74893,USD
2019-01-27,2.7541,3.1874,2.6415,2.8508,35498,USD
2019-02-03,2.8508,2.9896,2.5544,2.6769,16934,USD
2019-02-10,2.6769,3.0113,2.5937,2.7828,17775,USD
2019-02-17,2.7828,3.0183,2.7208,2.9537,15256,USD
2019-02-24,2.9537,2.9968,2.6455,2.7923,43292,USD
2019-03-03,2.7923,2.8371,2.5704,2.7234,55342,USD
2019-03-10,2.7234,2.8404,2.5959,2.784,75731,USD
2019-03-17,2.784,2.8703,2.7033,2.7998,29174,USD
2019-03-24,2.7998,2.8832,2.6501,2.7467,55989,USD
2019-03-31,2.7467,3.1917,2.7456,3.0033,134133,USD
2019-04-07,3.0033,3.1861,2.5098,2.7562,142369,USD
2019-04-14,2.7562,2.9143,2.5971,2.7371,35591,USD
2019-04-21,2.7371,2.7869,2.1826,2.2575,33979,USD
2019-04-28,2.2575,2.3897,2.0532,2.1755,32451,USD
2019-05-05,2.1755,2.5182,2.0585,2.4535,49432,USD
2019-05-12,2.4535,2.7577,2.2567,2.3924,85343,USD
2019-05-19,2.3924,3.3426,2.3257,2.7117,131216,USD
2019-05-26,2.7117,2.8687,2.53,2.6461,88902,USD
2019-06-02,2.6461,2.6895,2.2815,2.346,34571,USD
2019-06-09,2.346,2.5475,2.3051,2.4286,42201,USD
2019-06-16,2.4286,2.5861,2.3289,2.4313,62669,USD
2019-06-23,2.4313,2.4577,1.8607,1.981,123129,USD
2019-06-30,1.981,2.1967,1.7776,1.9463,70805,USD
2019-07-07,1.9463,2.2876,1.4553,1.5325,428519,USD
2019-07-14,1.5325,1.7177,1.3589,1.5158,143980,USD
2019-07-21,1.5158,1.5237,1.3404,1.3984,57252,USD
2019-07-28,1.3984,1.4451,1.3452,1.3846,28212,USD
2019-08-04,1.3846,1.438,1.2756,1.3079,53729,USD
2019-08-11,1.3079,1.3664,1.1348,1.2159,29840,USD
2019-08-18,1.2159,1.3625,1.1728,1.3059,43774,USD
2019-08-25,1.3059,1.3468,1.0949,1.1408,23985,USD
2019-09-01,1.1408,1.163,1.0692,1.0843,32550,USD
2019-09-08,1.0843,1.1401,1.0142,1.0429,29477,USD
2019-09-15,1.0429,1.1824,1.0178,1.0243,32796,USD
2019-09-22,1.0243,1.2322,0.8149,0.8431,120777,USD
2019-09-29,0.8431,0.9295,0.7941,0.9241,45514,USD
2019-10-06,0.9241,0.978,0.8464,0.8661,57323,USD
2019-10-13,0.8661,0.9013,0.7981,0.8095,35411,USD
2019-10-20,0.8095,0.8255,0.6932,0.7473,3537223,USD
2019-10-27,0.7473,0.9586,0.5194,0.8012,1499075,USD
2019-11-03,0.8012,0.8414,0.5252,0.7718,2003423,USD
2019-11-10,0.7718,0.8054,0.511,0.7673,2328745,USD
2019-11-17,0.7673,0.7809,0.5849,0.629,5600188,USD
2019-11-24,0.629,0.6346,0.5092,0.6045,6042324,USD
2019-12-01,0.6045,0.6331,0.5496,0.5754,3324134,USD
2019-12-08,0.5754,0.7393,0.5196,0.6839,35800984,USD
2019-12-15,0.6839,0.9548,0.654,0.913,42513280,USD
2019-12-22,0.913,1.3164,0.8325,1.051,38736312,USD
2019-12-29,1.051,1.1045,0.9244,0.9514,46187180,USD
2020-01-05,0.9514,0.9517,0.8042,0.8574,8333697,USD
2020-01-12,0.8574,0.9189,0.8366,0.8802,15300264,USD
2020-01-19,0.8802,0.9083,0.5105,0.8518,19607924,USD
2020-01-26,0.8518,0.9205,0.8496,0.9139,9028770,USD
2020-02-02,0.9139,1.1312,0.9139,1.0612,10194226,USD
2020-02-09,1.0612,1.7114,1.0605,1.4649,88171600,USD
2020-02-16,1.4649,1.5531,1.22,1.4015,33672648,USD
2020-02-23,1.4015,1.4551,1.1041,1.1329,30344748,USD
2020-03-01,1.1328,1.4464,1.1025,1.2875,48963168,USD
2020-03-08,1.2875,1.4743,0.5858,0.7992,51912352,USD
2020-03-15,0.7992,1.0705,0.672,0.9294,34449404,USD
2020-03-22,0.9294,0.9539,0.8015,0.8143,29972648,USD
2020-03-29,0.8143,1.1219,0.7682,0.9494,68323928,USD
2020-04-05,0.9494,1.1607,0.9284,0.9916,62347536,USD
2020-04-12,0.9916,1.0484,0.9467,1.0391,20674332,USD
2020-04-19,1.0391,1.0421,0.9525,1.0224,19177616,USD
2020-04-26,1.0219,1.1841,1.0141,1.0893,30205972,USD
2020-05-03,1.0893,1.0977,1.0066,1.0427,38285944,USD
2020-05-10,1.0427,1.1558,0.9056,1.0293,44973112,USD
2020-05-17,1.0293,1.149,0.9946,1.0703,32233456,USD
2020-05-24,1.0703,1.1413,1.012,1.1137,13369849,USD
2020-05-31,1.1137,1.186,1.0752,1.1484,24197764,USD
2020-06-07,1.1484,1.3104,1.1166,1.2471,27806716,USD
2020-06-14,1.2471,1.2896,1.0951,1.2034,18526948,USD
2020-06-21,1.2034,1.2619,1.1022,1.1107,11223460,USD
2020-06-28,1.1107,1.1857,1.1023,1.1285,23655760,USD
2020-07-05,1.1285,1.2174,1.102,1.1982,15179749,USD
2020-07-12,1.1982,1.5487,1.1658,1.4694,31004920,USD
2020-07-19,1.4694,1.7546,1.4141,1.527,25539240,USD
2020-07-26,1.4997,1.6265,1.4976,1.5709,12916202,USD
2020-08-02,1.5709,1.9744,1.4905,1.823,39898212,USD
2020-08-09,1.823,4.0685,1.7909,3.4071,94064808,USD
2020-08-16,3.4071,4.7893,2.8872,3.3832,89593104,USD
2020-08-23,3.3832,3.7695,2.9665,3.3696,29930692,USD
2020-08-30,3.3696,3.8733,2.127,2.3108,26274148,USD
2020-09-06,2.3108,2.6531,2.1966,2.6107,12809485,USD
2020-09-13,2.614,3.1421,2.3376,2.5442,22277560,USD
2020-09-20,2.5442,2.576,2.1055,2.514,24797544,USD
2020-09-27,2.514,2.7826,2.3148,2.4202,21443240,USD
2020-10-04,2.4202,2.5322,2.0726,2.4253,9798481,USD
2020-10-11,2.4253,3.3725,2.4027,3.1882,35221632,USD
2020-10-18,3.1882,3.5891,2.8245,3.4388,23578690,USD
2020-10-25,3.4388,3.4819,2.9563,3.2326,16001832,USD
2020-11-01,3.228,3.7415,3.0527,3.4465,11633904,USD
2020-11-08,3.4465,4.4584,3.4331,4.2929,14247798,USD
2020-11-15,4.2929,7.1351,4.2108,6.2223,30677904,USD
2020-11-22,6.2225,8.6831,5.6357,6.597,30814512,USD
2020-11-29,6.597,8.3694,6.3532,8.1253,15073794,USD
2020-12-06,8.1253,9.2951,7.2657,8.4686,17309304,USD
2020-12-13,8.4687,8.9434,7.5593,7.6684,9717594,USD
2020-12-20,7.6689,7.7515,5.4309,6.3436,14204773,USD
2020-12-27,6.3436,7.5862,5.4832,5.6008,12738315,USD
2021-01-03,5.6008,6.5736,5.0618,6.164,24231654,USD
2021-01-10,6.164,6.9748,5.0441,6.6438,28508764,USD
2021-01-17,6.6437,8.2748,5.4981,6.5964,21008708,USD
2021-01-24,6.5964,7.4044,5.9587,6.7486,12693749,USD
2021-01-31,6.7486,8.9462,6.3986,8.1766,23071076,USD
2021-02-07,8.1766,11.6915,7.6188,11.2259,27299888,USD
2021-02-14,11.2253,13.6679,9.893,12.2813,22258180,USD
2021-02-21,12.2655,12.875,7.9191,9.589,15865930,USD
2021-02-28,9.589,10.516,8.3707,9.9933,9478169,USD
2021-03-07,9.9933,10.8536,9.4826,10.163,5918463,USD
2021-03-14,10.1605,10.7028,9.2408,10.1311,7062867,USD
2021-03-21,10.1311,13.5305,9.6053,11.8692,25667418,USD
2021-03-28,11.8692,13.5808,11.3197,11.5886,12458579,USD
2021-04-04,11.5886,19.893,11.4856,16.3394,57979992,USD
2021-04-11,16.3394,17.1193,14.6065,15.5949,22548660,USD
2021-04-18,15.5977,15.9805,11.1924,13.1457,34174068,USD
2021-04-25,13.1457,24.3885,12.3604,22.5393,48381632,USD
2021-05-02,22.5393,40.9277,21.2716,32.3482,73289224,USD
2021-05-09,32.3482,38.4572,29.4471,31.1699,29686660,USD
2021-05-16,31.1699,33.272,15.1656,17.9825,29308328,USD
2021-05-23,17.9824,18.5283,12.0612,13.1132,43973580,USD
2021-05-30,13.1132,15.6512,12.0776,14.1173,24968846,USD
2021-06-06,14.1173,16.5608,12.8763,14.6026,29719988,USD
2021-06-13,14.6225,18.8915,14.1242,15.8708,23017304,USD
2021-06-20,15.8708,18.3106,11.5074,13.5361,36242712,USD
2021-06-27,13.5418,17.6427,13.1699,16.2978,16826020,USD
2021-07-04,16.2978,17.857,14.0101,14.1752,10341077,USD
2021-07-11,14.1752,14.4579,12.6884,13.154,12284715,USD
2021-07-18,13.154,16.0426,11.7074,15.1191,12577607,USD
2021-07-25,15.2954,16.9568,14.3751,16.5528,16153450,USD
2021-08-01,16.5528,17.3938,15.5135,17.3654,7277764,USD
2021-08-08,17.3649,27.3088,15.909,26.0869,18219000,USD
2021-08-15,26.0869,26.6754,21.401,24.93,13666265,USD
2021-08-22,24.9372,27.1006,22.3598,25.3216,9602271,USD
2021-08-29,25.3216,31.1622,24.4041,30.5166,17983020,USD
2021-09-05,30.53,33.7863,22.3944,30.3156,28694636,USD
2021-09-12,30.356,34.2389,28.3867,29.0322,13301655,USD
2021-09-19,29.0322,29.0595,21.1386,24.266,18923860,USD
2021-09-26,24.266,27.0834,22.1291,26.3024,8493585,USD
2021-10-03,26.3024,28.8285,25.7323,28.8284,7853936,USD
2021-10-10,28.8284,34.5559,25.929,29.2271,17577750,USD
2021-10-17,29.2456,30.1669,27.5373,28.3037,5847644,USD
2021-10-24,28.3037,31.0651,24.8246,26.7027,13071543,USD
2021-10-31,26.7027,27.3185,24.6165,25.2157,6789746,USD
2021-11-07,25.2157,26.1748,23.0162,23.7374,9213436,USD
2021-11-14,23.7356,24.3176,20.2175,22.1137,10524044,USD
2021-11-21,22.1137,22.1202,18.2176,19.3187,5063592,USD
2021-11-28,19.3188,23.3486,15.1199,18.3737,4026664,USD
2021-12-05,18.3737,21.3107,15.3173,16.0208,7632227,USD
2021-12-12,16.0208,20.0372,13.9597,17.3008,13868131,USD
2021-12-19,17.3008,17.3377,14.918,16.1592,5202311,USD
2021-12-26,16.1592,17.0017,13.9228,15.0888,4616676,USD
2022-01-02,15.0888,16.2968,13.01,13.7593,4821493,USD
2022-01-09,13.7593,14.9836,12.9048,14.5419,4044807,USD
2022-01-16,14.5419,14.8729,8.0846,8.9656,5740355,USD
2022-01-23,8.9656,11.9097,7.5802,9.8758,15290428,USD
2022-01-30,9.8758,10.1877,8.2622,10.0133,13869829,USD
2022-02-06,10.0133,12.1672,9.3053,9.524,15653086,USD
2022-02-13,9.524,11.182,9.035,9.6882,9803730,USD
2022-02-20,9.6882,12.7659,8.2306,12.26,16724197,USD
2022-02-27,12.26,20.9131,11.0409,17.2589,289468480,USD
2022-03-06,17.2589,30.7571,16.8114,26.7095,1069319936,USD
2022-03-13,26.7095,34.348,25.2014,32.5584,866253312,USD
2022-03-20,32.5584,34.5881,30.1448,32.7536,21176184,USD
2022-03-27,32.7536,53.7606,31.2825,52.7449,18456488,USD
