Date,Open,High,Low,Close,Volume,Currency
2020-02-23,0.08089,0.08586,0.057,0.06025,129272200,USD
2020-03-01,0.06,0.22979,0.05897,0.20116,715736256,USD
2020-03-08,0.20483,0.21167,0.05202,0.09439,1285894784,USD
2020-03-15,0.09442,0.12233,0.06319,0.10259,858380352,USD
2020-03-22,0.10259,0.10561,0.08462,0.09374,265277536,USD
2020-03-29,0.09356,0.15478,0.0884,0.13701,570260288,USD
2020-04-05,0.13791,0.15909,0.12017,0.1257,439866688,USD
2020-04-12,0.1257,0.15052,0.12045,0.1477,259638832,USD
2020-04-19,0.14771,0.14854,0.12538,0.1382,189041792,USD
2020-04-26,0.138,0.15431,0.13779,0.14333,216987376,USD
2020-05-03,0.1433,0.14416,0.12846,0.1374,106616848,USD
2020-05-10,0.13706,0.14062,0.11538,0.13126,100659072,USD
2020-05-17,0.1308,0.14101,0.12605,0.13183,86378120,USD
2020-05-24,0.13183,0.15415,0.12435,0.13568,144947184,USD
2020-05-31,0.13571,0.13844,0.12905,0.13252,57255660,USD
2020-06-07,0.13252,0.1355,0.12357,0.1268,50921020,USD
2020-06-14,0.12681,0.13489,0.11102,0.12453,66073224,USD
2020-06-21,0.12453,0.13523,0.11502,0.1176,87402144,USD
2020-06-28,0.11763,0.14865,0.11591,0.14004,127631696,USD
2020-07-05,0.1404,0.1485,0.134,0.14621,95875592,USD
2020-07-12,0.14621,0.1463,0.13063,0.13395,76065176,USD
2020-07-19,0.13395,0.1412,0.12821,0.12821,69347600,USD
2020-07-26,0.12821,0.13116,0.12047,0.12388,58512696,USD
2020-08-02,0.12388,0.1284,0.12151,0.12387,63405356,USD
2020-08-09,0.12387,0.18186,0.12311,0.15791,331660448,USD
2020-08-16,0.15848,0.16424,0.12927,0.138,159635840,USD
2020-08-23,0.138,0.14202,0.1295,0.13574,61983660,USD
2020-08-30,0.13573,0.13939,0.09836,0.10197,90725152,USD
2020-09-06,0.10197,0.11346,0.09622,0.11346,37395612,USD
2020-09-13,0.11349,0.11877,0.08934,0.10268,65859200,USD
2020-09-20,0.10268,0.103,0.08684,0.09573,30848276,USD
2020-09-27,0.09573,0.09931,0.09259,0.09482,30719096,USD
2020-10-04,0.09471,0.10347,0.08888,0.09663,36517216,USD
2020-10-11,0.0965,0.1,0.0919,0.09808,32909524,USD
2020-10-18,0.09844,0.099,0.09174,0.09326,43014400,USD
2020-10-25,0.09326,0.09326,0.07915,0.07915,220884384,USD
2020-11-01,0.079,0.08622,0.0644,0.07648,88002808,USD
2020-11-08,0.07648,0.08167,0.07648,0.07821,24815914,USD
2020-11-15,0.07821,0.08347,0.07573,0.08347,29365376,USD
2020-11-22,0.08346,0.09176,0.07535,0.07822,82154600,USD
2020-11-29,0.07822,0.08237,0.07763,0.07926,33431150,USD
2020-12-06,0.07926,0.07926,0.07228,0.0728,24645134,USD
2020-12-13,0.07286,0.07941,0.07286,0.07808,40314744,USD
2020-12-20,0.07804,0.07804,0.06427,0.06831,35585444,USD
2020-12-27,0.06838,0.06899,0.06414,0.06509,43349236,USD
2021-01-03,0.06509,0.09213,0.06485,0.08997,83021472,USD
2021-01-10,0.08921,0.09024,0.07706,0.08641,79441496,USD
2021-01-17,0.0866,0.10902,0.0831,0.0928,83685256,USD
2021-01-24,0.09315,0.11877,0.08753,0.10838,158190960,USD
2021-01-31,0.10838,0.126,0.1013,0.11941,77069160,USD
2021-02-07,0.11913,0.21767,0.11428,0.2071,296781344,USD
2021-02-14,0.20738,0.34593,0.17747,0.28375,309786272,USD
2021-02-21,0.28528,0.38253,0.24936,0.27333,182137488,USD
2021-02-28,0.27332,0.29321,0.23559,0.28607,119888408,USD
2021-03-07,0.28645,0.49379,0.28645,0.477,172696576,USD
2021-03-14,0.47823,0.57566,0.42223,0.52379,203486720,USD
2021-03-21,0.52359,0.54025,0.4137,0.47178,69513088,USD
2021-03-28,0.47321,1.88896,0.4614,1.54043,900380288,USD
2021-04-04,1.54525,5.57083,1.54525,3.71924,821345280,USD
2021-04-11,3.71801,4.37943,3.0,3.48598,196097840,USD
2021-04-18,3.48755,3.48755,2.11124,2.42518,132418904,USD
2021-04-25,2.43811,3.1751,2.295,2.7753,87691608,USD
2021-05-02,2.7778,2.8614,2.2197,2.53,159970304,USD
2021-05-09,2.5334,2.5523,1.8943,1.9086,97667128,USD
2021-05-16,1.9172,2.3224,1.0232,1.0675,144107664,USD
2021-05-23,1.0626,1.6923,0.7224,1.3338,217958352,USD
2021-05-30,1.3313,2.1658,1.255,1.7138,376713984,USD
2021-06-06,1.7118,1.8665,1.3825,1.5636,196593744,USD
2021-06-13,1.5682,1.6692,1.406,1.406,65420684,USD
2021-06-20,1.4071,1.4202,1.003,1.1102,97922232,USD
2021-06-27,1.113,1.2656,1.0839,1.1613,46310032,USD
2021-07-04,1.1757,1.2625,1.0311,1.0688,57441924,USD
2021-07-11,1.0699,1.1423,0.9129,0.9419,44501068,USD
2021-07-18,0.9411,1.0052,0.8082,0.9516,35799208,USD
2021-07-25,0.96,1.273,0.9254,1.1251,96353088,USD
2021-08-01,1.1283,1.2656,1.032,1.2104,53920412,USD
2021-08-08,1.2095,1.5593,1.1169,1.503,125009320,USD
2021-08-15,1.503,1.5634,1.3133,1.4945,68348288,USD
2021-08-22,1.4954,1.7454,1.4,1.489,82234768,USD
2021-08-29,1.488,1.563,1.375,1.506,59945492,USD
2021-09-05,1.506,1.596,1.064,1.189,86727408,USD
2021-09-12,1.189,1.261,1.089,1.182,53131696,USD
2021-09-19,1.18,1.384,0.962,1.05,136134160,USD
2021-09-26,1.051,1.169,0.985,1.134,47969712,USD
2021-10-03,1.136,1.299,1.085,1.252,77539424,USD
2021-10-10,1.252,1.406,1.12,1.302,91439784,USD
2021-10-17,1.301,1.384,1.217,1.347,54028012,USD
2021-10-24,1.344,1.468,1.259,1.378,64627256,USD
2021-10-31,1.382,2.079,1.371,1.522,181340288,USD
2021-11-07,1.526,1.721,1.462,1.543,67868328,USD
2021-11-14,1.543,1.58,1.175,1.335,52959392,USD
2021-11-21,1.34,1.341,1.135,1.179,81547176,USD
2021-11-28,1.178,1.856,1.038,1.245,251056288,USD
2021-12-05,1.242,1.346,1.088,1.141,61866192,USD
2021-12-12,1.148,1.178,1.038,1.095,30024814,USD
2021-12-19,1.096,1.225,1.015,1.206,22913166,USD
2021-12-26,1.207,1.345,1.135,1.216,30815178,USD
2022-01-02,1.216,1.241,1.0,1.022,26854394,USD
2022-01-09,1.021,1.139,0.948,1.086,24149202,USD
2022-01-16,1.086,1.101,0.706,0.751,29563672,USD
2022-01-23,0.752,0.852,0.686,0.808,25283496,USD
2022-01-30,0.807,1.2,0.764,0.971,82744664,USD
2022-02-06,0.972,1.037,0.868,0.891,30274604,USD
2022-02-13,0.893,0.939,0.702,0.71,37030444,USD
2022-02-20,0.71,0.711,0.502,0.569,72548928,USD
2022-02-27,0.569,0.728,0.552,0.621,56175392,USD
2022-03-06,0.621,0.648,0.587,0.589,21292702,USD
2022-03-13,0.589,0.595,0.533,0.576,20701304,USD
2022-03-20,0.575,0.688,0.548,0.644,70976080,USD
2022-03-27,0.645,0.715,0.635,0.686,38647160,USD
