Date,Open,High,Low,Close,Volume,Currency
2018-03-04,0.478216,0.72818,0.313626,0.542991,0,USD
2018-03-11,0.542991,0.662167,0.203486,0.24575,0,USD
2018-03-18,0.24575,0.292942,0.228707,0.25387,0,USD
2018-03-25,0.25387,0.256466,0.131044,0.137985,0,USD
2018-04-01,0.137985,0.162204,0.117901,0.119705,0,USD
2018-04-08,0.119705,0.142235,0.106596,0.132405,0,USD
2018-04-15,0.132405,0.184487,0.132249,0.161927,0,USD
2018-04-22,0.161927,0.221551,0.158956,0.174559,0,USD
2018-04-29,0.174559,0.215005,0.133558,0.16376,0,USD
2018-05-06,0.163905,0.165604,1.5e-05,0.132837,0,USD
2018-05-13,0.13314,0.149537,0.121648,0.12261,0,USD
2018-05-20,0.12261,0.126697,0.095151,0.097714,0,USD
2018-05-27,0.097734,0.100175,0.090784,0.093757,0,USD
2018-06-03,0.093686,0.095104,0.071314,0.071554,0,USD
2018-06-10,0.071574,0.071574,0.055132,0.058567,0,USD
2018-06-17,0.058578,0.061928,0.052847,0.054076,0,USD
2018-06-24,0.054146,0.059343,0.051099,0.05909,0,USD
2018-07-01,0.059089,0.087443,1e-06,0.084251,0,USD
2018-07-08,0.084251,0.274582,0.082453,0.173845,0,USD
2018-07-15,0.173845,0.177621,0.141387,0.17098,0,USD
2018-07-22,0.17098,0.195552,0.163809,0.189776,0,USD
2018-07-29,0.189776,0.190518,0.124393,0.125792,0,USD
2018-08-05,0.125792,0.128127,0.091894,0.09522,0,USD
2018-08-12,0.09522,0.106672,0.094471,0.100367,0,USD
2018-08-19,0.100367,0.105608,0.092456,0.093101,0,USD
2018-08-26,0.093101,0.095438,0.076058,0.08583,0,USD
2018-09-02,0.08583,0.087613,0.05398,0.055325,0,USD
2018-09-09,0.055325,0.06719,0.052087,0.052975,0,USD
2018-09-16,0.052975,0.066252,0.05184,0.059004,0,USD
2018-09-23,0.059004,0.063596,0.055635,0.059541,0,USD
2018-09-30,0.059541,0.059541,0.045254,0.046736,0,USD
2018-10-07,0.046736,0.050022,0.045864,0.049568,0,USD
2018-10-14,0.049568,0.059356,0.04777,0.058974,0,USD
2018-10-21,0.058974,0.059596,0.055844,0.056031,0,USD
2018-10-28,0.056031,0.057166,0.054292,0.054872,0,USD
2018-11-04,0.054872,0.113876,0.052395,0.054117,0,USD
2018-11-11,0.054117,0.056626,0.04375,0.049346,0,USD
2018-11-18,0.049346,0.049856,0.028567,0.029283,0,USD
2018-11-25,0.029283,0.030849,0.019757,0.0255,0,USD
2018-12-02,0.0255,0.025787,0.016237,0.018424,0,USD
2018-12-09,0.018424,0.019811,0.014622,0.016468,0,USD
2018-12-16,0.016468,0.022101,0.015745,0.02199,0,USD
2018-12-23,0.02199,0.0276,0.020204,0.022209,0,USD
2018-12-30,0.022209,0.024309,0.017967,0.01819,0,USD
2019-01-06,0.01819,0.036378,0.016463,0.016642,0,USD
2019-01-13,0.016642,0.020167,0.013559,0.015812,0,USD
2019-01-20,0.015812,0.015981,0.012502,0.013024,0,USD
2019-01-27,0.013024,0.013058,0.012323,0.01283,0,USD
2019-02-03,0.01283,0.016449,0.012392,0.016324,0,USD
2019-02-10,0.016324,0.018029,0.011442,0.015882,0,USD
2019-02-17,0.015882,0.021296,0.015816,0.021082,0,USD
2019-02-24,0.021082,0.021433,0.018394,0.018646,0,USD
2019-03-03,0.018646,0.019234,0.017952,0.019093,0,USD
2019-03-10,0.019093,0.038976,0.01696,0.020571,0,USD
2019-03-17,0.020571,0.030423,0.015573,0.026979,0,USD
2019-03-24,0.026979,0.028243,0.021061,0.022366,0,USD
2019-03-31,0.022366,0.045434,0.021485,0.040362,0,USD
2019-04-07,0.040362,0.042567,0.032938,0.033946,0,USD
2019-04-14,0.033946,0.035211,0.02907,0.02937,0,USD
2019-04-21,0.02937,0.033431,0.027501,0.028836,0,USD
2019-04-28,0.028836,0.029512,0.024233,0.026591,0,USD
2019-05-05,0.026591,0.028521,0.023365,0.027236,0,USD
2019-05-12,0.027236,0.029701,0.024558,0.026107,0,USD
2019-05-19,0.026107,0.029808,0.025112,0.028758,0,USD
2019-05-26,0.028758,0.036264,0.026967,0.033923,0,USD
2019-06-02,0.033923,0.034773,0.029298,0.030638,0,USD
2019-06-09,0.030638,0.034071,0.029034,0.033003,0,USD
2019-06-16,0.033003,0.041135,0.032829,0.040775,0,USD
2019-06-23,0.040775,0.051647,0.039867,0.043194,0,USD
2019-06-30,0.043194,0.046338,0.037075,0.0448,0,USD
2019-07-07,0.0448,0.095955,0.044222,0.060708,0,USD
2019-07-14,0.060708,0.066012,0.042047,0.046887,0,USD
2019-07-21,0.046887,0.047282,0.038361,0.038943,0,USD
2019-07-28,0.038943,0.04594,0.037737,0.045577,0,USD
2019-08-04,0.045577,0.052285,0.043314,0.045938,0,USD
2019-08-11,0.045938,0.047277,0.037071,0.038883,0,USD
2019-08-18,0.038883,0.042355,0.036841,0.039691,0,USD
2019-08-25,0.039691,0.041459,0.035969,0.036955,0,USD
2019-09-01,0.036955,0.040999,0.034549,0.03534,0,USD
2019-09-08,0.03534,0.036904,0.031822,0.036901,0,USD
2019-09-15,0.036901,0.037022,0.030221,0.031488,0,USD
2019-09-22,0.031488,0.031922,0.024117,0.025115,0,USD
2019-09-29,0.025115,0.026248,0.023861,0.025092,0,USD
2019-10-06,0.025092,0.026989,0.023854,0.02525,0,USD
2019-10-13,0.02525,0.025917,0.019915,0.0229,0,USD
2019-10-20,0.0229,0.027874,0.019435,0.024592,0,USD
2019-10-27,0.024592,0.026112,0.021832,0.022487,0,USD
2019-11-03,0.022487,0.023807,0.020079,0.020701,0,USD
2019-11-10,0.020701,0.021523,0.019531,0.019856,0,USD
2019-11-17,0.019856,0.020189,0.015968,0.016584,0,USD
2019-11-24,0.016584,0.017894,0.014804,0.017343,0,USD
2019-12-01,0.017343,0.017351,0.0157,0.016473,0,USD
2019-12-08,0.016473,0.016796,0.015435,0.015582,0,USD
2019-12-15,0.015582,0.016749,0.014122,0.015883,0,USD
2019-12-22,0.015883,0.017978,0.015823,0.017147,0,USD
2019-12-29,0.017147,0.017922,0.016118,0.017392,0,USD
2020-01-05,0.017392,0.020242,0.017313,0.019624,0,USD
2020-01-12,0.019624,0.024318,0.019482,0.024086,0,USD
2020-01-19,0.024086,0.024825,0.02225,0.022541,0,USD
2020-01-26,0.022541,0.02587,0.022412,0.025385,0,USD
2020-02-02,0.025385,0.025867,0.021731,0.021731,0,USD
2020-02-09,0.021731,0.024949,0.020577,0.022934,0,USD
2020-02-16,0.022934,0.02578,0.020208,0.020274,0,USD
2020-02-23,0.020274,0.024061,0.018963,0.020266,0,USD
2020-03-01,0.020266,0.023097,0.020024,0.022358,0,USD
2020-03-08,0.022358,0.022358,0.008621,0.008805,0,USD
2020-03-15,0.008805,0.008982,0.005962,0.007457,0,USD
2020-03-22,0.007457,0.0087,0.006345,0.007465,0,USD
2020-03-29,0.007465,0.008847,0.006393,0.007578,0,USD
2020-04-05,0.007578,0.007609,0.006787,0.006985,0,USD
2020-04-12,0.006985,0.007277,0.005013,0.006271,0,USD
2020-04-19,0.006271,0.006437,0.00577,0.006033,0,USD
2020-04-26,0.006033,0.010693,0.006017,0.010673,0,USD
2020-05-03,0.010673,0.010927,0.00789,0.008816,0,USD
2020-05-10,0.008816,0.008847,0.005753,0.005862,0,USD
