Date,Open,High,Low,Close,Volume,Currency
2018-03-04,11.2036,21.1773,7.1725,9.6946,0,USD
2018-03-11,9.704,10.3345,5.5628,5.9067,0,USD
2018-03-18,5.8702,6.7149,4.6999,4.7392,0,USD
2018-03-25,4.7494,6.4197,2.7133,5.0645,0,USD
2018-04-01,5.0461,5.5014,3.7419,3.9258,0,USD
2018-04-08,3.9287,4.9271,3.8657,4.8409,0,USD
2018-04-15,4.8397,7.2435,4.8023,6.7813,0,USD
2018-04-22,6.8221,41.0307,6.5002,27.4587,0,USD
2018-04-29,27.4587,31.3447,18.9989,20.0799,0,USD
2018-05-06,19.9946,21.7549,11.6928,15.6344,0,USD
2018-05-13,16.0169,18.229,13.2163,13.4247,0,USD
2018-05-20,13.4101,15.7424,10.6906,11.5842,0,USD
2018-05-27,11.5868,15.7018,10.7115,13.5724,0,USD
2018-06-03,13.5725,14.1452,11.4923,11.5011,0,USD
2018-06-10,11.5043,11.5043,9.5036,9.999,0,USD
2018-06-17,10.0003,10.8467,8.1915,8.6066,0,USD
2018-06-24,8.6178,9.0222,6.5541,7.7344,0,USD
2018-07-01,7.7346,8.9168,0.0001,8.5106,0,USD
2018-07-08,8.5106,9.0125,7.3465,7.8552,0,USD
2018-07-15,7.8552,9.3633,7.3544,8.7985,0,USD
2018-07-22,8.7985,14.2937,8.1141,13.9225,0,USD
2018-07-29,13.9225,19.7638,11.3907,13.2903,0,USD
2018-08-05,13.3042,15.4498,11.5342,11.8489,0,USD
2018-08-12,11.8599,12.5806,7.86,9.1841,0,USD
2018-08-19,9.1847,9.6407,6.2715,6.9756,0,USD
2018-08-26,6.9684,8.2498,6.0419,7.621,0,USD
2018-09-02,7.6791,8.6995,4.7845,5.5126,0,USD
2018-09-09,5.5206,5.697,3.3177,3.8791,0,USD
2018-09-16,3.8761,3.9395,3.2464,3.3192,0,USD
2018-09-23,3.3207,4.9279,3.2984,3.8551,0,USD
2018-09-30,3.8518,4.008,3.4559,3.505,0,USD
2018-10-07,3.5049,3.9518,3.1619,3.3011,0,USD
2018-10-14,3.2854,3.8402,3.2227,3.4781,0,USD
2018-10-21,3.4761,3.5275,3.049,3.0788,0,USD
2018-10-28,3.0788,3.1274,2.7448,2.8574,0,USD
2018-11-04,2.8574,3.1038,2.7678,2.7896,0,USD
2018-11-11,2.7896,2.9373,1.7903,1.9471,0,USD
2018-11-18,1.9471,2.0208,1.1102,1.282,0,USD
2018-11-25,1.2828,1.6452,1.1596,1.4705,0,USD
2018-12-02,1.4727,1.5464,0.9307,1.0259,0,USD
