Date,Open,High,Low,Close,Volume,Currency
2018-09-02,0.83123,0.87258,0.70055,0.70651,0,USD
2018-09-09,0.70651,0.81358,0.69918,0.79685,0,USD
2018-09-16,0.79685,0.79828,0.70447,0.72241,0,USD
2018-09-23,0.72241,0.72361,0.6223,0.64884,0,USD
2018-09-30,0.64884,0.65871,0.63457,0.64834,0,USD
2018-10-07,0.64834,0.66078,0.56785,0.57201,0,USD
2018-10-14,0.57201,0.8241,0.57072,0.74911,0,USD
2018-10-21,0.74911,0.77538,0.71762,0.76588,0,USD
2018-10-28,0.76588,0.76662,0.73501,0.74387,0,USD
2018-11-04,0.74387,0.76567,0.56315,0.60976,0,USD
2018-11-11,0.60976,0.61868,0.43508,0.45342,0,USD
2018-11-18,0.45342,0.46308,0.22085,0.22638,0,USD
2018-11-25,0.22638,0.25334,0.1819,0.24775,0,USD
2018-12-02,0.24775,0.29965,0.19899,0.24067,0,USD
2018-12-09,0.24067,0.26022,0.21859,0.22697,0,USD
2018-12-16,0.22697,0.29925,0.22319,0.29163,0,USD
2018-12-23,0.29163,0.31291,0.2667,0.2794,0,USD
2018-12-30,0.2794,0.28803,0.25098,0.25781,0,USD
2019-01-06,0.25781,0.51609,0.2358,0.23813,0,USD
2019-01-13,0.23813,0.24422,0.21173,0.21894,0,USD
2019-01-20,0.21894,0.22344,0.16453,0.20918,0,USD
2019-01-27,0.20918,0.222,0.19276,0.21942,0,USD
2019-02-03,0.21942,0.21989,0.1821,0.20864,0,USD
2019-02-10,0.20864,0.22443,0.11203,0.18886,0,USD
2019-02-17,0.18886,0.21249,0.17661,0.21049,0,USD
2019-02-24,0.21049,0.21367,0.11662,0.14658,0,USD
2019-03-03,0.14658,0.17575,0.14651,0.17479,0,USD
2019-03-10,0.17479,0.1993,0.16739,0.19815,0,USD
2019-03-17,0.19815,0.22555,0.18556,0.22546,0,USD
2019-03-24,0.22546,0.26053,0.17353,0.25975,0,USD
2019-03-31,0.25975,0.33508,0.24979,0.29978,0,USD
2019-04-07,0.29978,0.33499,0.19085,0.22702,0,USD
2019-04-14,0.22702,0.31651,0.22677,0.25256,0,USD
2019-04-21,0.25256,0.30928,0.23057,0.30401,0,USD
2019-04-28,0.30401,0.35361,0.23606,0.33199,0,USD
2019-05-05,0.33199,0.39564,0.32014,0.38969,0,USD
2019-05-12,0.38969,0.4546,0.36633,0.387,0,USD
2019-05-19,0.387,0.44767,0.37594,0.40358,0,USD
2019-05-26,0.40358,0.44934,0.39269,0.41712,0,USD
2019-06-02,0.41712,0.43056,0.3474,0.38149,0,USD
2019-06-09,0.38149,0.39477,0.24438,0.35388,0,USD
2019-06-16,0.35388,0.39629,0.24701,0.24944,0,USD
2019-06-23,0.24944,0.49135,0.24826,0.40921,0,USD
2019-06-30,0.40921,0.48357,0.31237,0.41338,0,USD
2019-07-07,0.41338,0.45205,0.28341,0.32869,0,USD
2019-07-14,0.32869,0.38713,0.23673,0.37418,0,USD
2019-07-21,0.37418,0.37476,0.00618,0.0069,0,USD
2019-07-28,0.0069,0.00884,0.00549,0.00687,0,USD
2019-08-04,0.00687,0.00734,0.00543,0.00553,0,USD
2019-08-11,0.00553,0.00647,0.00504,0.00536,0,USD
2019-08-18,0.00536,0.00614,0.00474,0.00548,0,USD
2019-08-25,0.00548,0.00551,0.0041,0.00494,0,USD
2019-09-01,0.00494,0.00525,0.00481,0.00511,0,USD
2019-09-08,0.00511,0.00543,0.00502,0.00541,0,USD
2019-09-15,0.00541,0.00643,0.00535,0.00619,0,USD
2019-09-22,0.00619,0.0062,0.00433,0.005,0,USD
2019-09-29,0.005,0.00533,0.00474,0.00507,0,USD
2019-10-06,0.00507,0.00564,0.00483,0.00517,0,USD
2019-10-13,0.00517,0.00541,0.00486,0.00494,0,USD
2019-10-20,0.00494,0.00566,0.00444,0.00516,0,USD
2019-10-27,0.00516,0.00554,0.00507,0.00526,0,USD
2019-11-03,0.00526,0.00559,0.00515,0.00532,0,USD
2019-11-10,0.00532,0.00551,0.00512,0.00525,0,USD
2019-11-17,0.00525,0.00535,0.004,0.00437,0,USD
2019-11-24,0.00437,0.00447,0.0013,0.0015,871717,USD
2019-12-01,0.0014,0.0016,0.0013,0.0016,1153894,USD
