Date,Open,High,Low,Close,Volume,Currency
2018-02-04,0.050111,0.06578,0.0,0.054,21055,USD
2018-02-11,0.054,0.06,0.0301,0.052,70614,USD
2018-02-18,0.052,0.06,0.0295,0.037,81449,USD
2018-02-25,0.037,0.045,0.031,0.03223,143165,USD
2018-03-04,0.03223,0.043999,0.0257,0.031111,67693,USD
2018-03-11,0.031111,0.038158,0.025,0.025,15799,USD
2018-03-18,0.025,0.034999,0.019007,0.020022,56594,USD
2018-03-25,0.020022,0.034,0.01,0.02,50812,USD
2018-04-01,0.02,0.04,0.012108,0.04,22710,USD
2018-04-08,0.04,0.04,0.028,0.033,83506,USD
2018-04-15,0.033,0.04,0.02505,0.026552,41431,USD
2018-04-22,0.026552,0.05,0.026552,0.05,51808,USD
2018-04-29,0.05,0.055555,0.034,0.042242,60851,USD
2018-05-06,0.042242,0.050348,0.02,0.030153,12382,USD
2018-05-13,0.030153,0.04,0.024454,0.024454,3122,USD
2018-05-20,0.024454,0.029425,0.0,0.02811,20562,USD
2018-05-27,0.02811,0.02811,0.015101,0.015101,4175,USD
2018-06-03,0.0,0.033449,0.0,0.022,12987,USD
2018-06-10,0.0198,0.020001,0.0,0.018,2126,USD
2018-06-17,0.018,0.023,0.0,0.021,11285,USD
2018-06-24,0.021,0.021,0.0,0.012261,859,USD
2018-07-01,0.012261,0.021273,0.012261,0.017199,6893,USD
2018-07-08,0.017199,0.0205,0.015002,0.017,8761,USD
2018-07-15,0.017,0.0205,0.012521,0.0164,2755,USD
2018-07-22,0.0164,0.024998,0.01503,0.016001,2135,USD
2018-07-29,0.016001,0.024997,0.016001,0.0191,3058,USD
2018-08-05,0.0191,0.02,0.015,0.015,4218,USD
2018-08-12,0.015,0.018,0.01108,0.013,3708,USD
2018-08-19,0.018087,0.018087,0.011809,0.011809,694,USD
2018-08-26,0.011809,0.018087,0.005,0.018087,2670,USD
2018-09-02,0.018087,0.018087,0.012444,0.012444,63,USD
2018-09-09,0.018087,0.018087,0.012444,0.012444,937,USD
2018-09-16,0.015,0.016999,0.012008,0.016999,96,USD
2018-09-23,0.016999,0.016999,0.016999,0.016999,0,USD
2018-09-30,0.01,0.01,0.007206,0.007206,200,USD
2018-10-07,0.007206,0.0082,0.007206,0.0082,0,USD
2018-10-14,0.015,0.015,0.008201,0.015,548,USD
2018-10-21,0.01003,0.01003,0.004958,0.008421,8547,USD
2018-10-28,0.008421,0.12,0.0084,0.012034,47677,USD
2018-11-04,0.012034,0.0197,0.012034,0.017263,1904,USD
2018-11-11,0.017263,0.032003,0.0155,0.032003,801,USD
2018-11-18,0.032003,0.04,0.012111,0.0156,9370,USD
2018-11-25,0.0156,0.0395,0.0122,0.03,39369,USD
2018-12-02,0.03,0.03596,0.017001,0.035949,8471,USD
2018-12-09,0.035949,0.035949,0.0191,0.0221,18033,USD
2018-12-16,0.0221,0.055,0.0211,0.043939,51651,USD
2018-12-23,0.043939,0.065,0.0221,0.0221,13930,USD
2018-12-30,0.0221,0.059999,0.0191,0.043038,18964,USD
2019-01-06,0.043038,0.059999,0.033,0.03771,31265,USD
2019-01-13,0.03771,0.057999,0.0371,0.039933,12710,USD
2019-01-20,0.039933,0.05099,0.0341,0.0351,11875,USD
2019-01-27,0.0351,0.0441,0.0351,0.038,7027,USD
2019-02-03,0.038,0.041685,0.032,0.036411,10410,USD
2019-02-10,0.036411,0.041685,0.032,0.041685,9677,USD
2019-02-17,0.041685,0.042,0.038,0.040292,1975,USD
2019-02-24,0.040292,0.0531,0.038074,0.0381,1865,USD
2019-03-03,0.0381,0.0531,0.0321,0.039645,17371,USD
2019-03-10,0.039645,0.05209,0.036051,0.045008,14798,USD
2019-03-17,0.045008,0.045643,0.040327,0.040446,4169,USD
2019-03-24,0.040446,0.06,0.0381,0.043464,23822,USD
2019-03-31,0.043253,0.05,0.041023,0.047493,67240,USD
2019-04-07,0.047493,0.06,0.0391,0.052967,69559,USD
2019-04-14,0.052967,0.052967,0.0441,0.0441,20798,USD
2019-04-21,0.0441,0.0585,0.038578,0.040882,26110,USD
2019-04-28,0.040882,0.0519,0.0321,0.0434,262850,USD
2019-05-05,0.0434,0.060001,0.0381,0.043258,135996,USD
2019-05-12,0.043258,0.0551,0.033951,0.04344,171369,USD
2019-05-19,0.04344,0.052,0.0371,0.0371,32109,USD
2019-05-26,0.0371,0.049999,0.0371,0.040303,34629,USD
2019-06-02,0.040303,0.05,0.04,0.043284,47788,USD
2019-06-09,0.043284,0.049999,0.04328,0.04431,15991,USD
2019-06-16,0.04431,0.055,0.040034,0.040034,47439,USD
2019-06-23,0.040034,0.0549,0.038952,0.040839,28088,USD
2019-06-30,0.040839,0.048,0.040839,0.042228,14420,USD
2019-07-07,0.042228,0.04999,0.0379,0.047479,18340,USD
2019-07-14,0.047479,0.049701,0.039,0.049701,33414,USD
2019-07-21,0.049701,0.053,0.039002,0.047262,117668,USD
2019-07-28,0.047262,0.0478,0.03787,0.041961,25929,USD
2019-08-04,0.041961,0.042,0.037,0.037,30128,USD
2019-08-11,0.037,0.042,0.033542,0.04084,27634,USD
2019-08-18,0.04084,0.040999,0.025968,0.040708,34038,USD
2019-08-25,0.040708,0.042414,0.0335,0.039636,49297,USD
2019-09-01,0.039636,0.0478,0.035033,0.036788,84255,USD
2019-09-08,0.036788,0.0478,0.034624,0.045342,21803,USD
2019-09-15,0.045342,0.0493,0.029,0.036112,108450,USD
2019-09-22,0.036112,0.036112,0.020277,0.028893,30536,USD
2019-09-29,0.028893,0.035,0.024,0.034999,62817,USD
2019-10-06,0.034999,0.036849,0.030296,0.030627,20793,USD
2019-10-13,0.030627,0.043,0.030627,0.034624,10207,USD
2019-10-20,0.034624,0.03999,0.032662,0.03998,14747,USD
2019-10-27,0.03998,0.040361,0.032692,0.034624,10484,USD
2019-11-03,0.034624,0.038779,0.031378,0.033542,2746,USD
2019-11-10,0.033542,0.039898,0.026428,0.026428,8215,USD
2019-11-17,0.026428,0.036355,0.024886,0.029084,63506,USD
2019-11-24,0.029084,0.03996,0.027039,0.0399,37044,USD
2019-12-01,0.0399,0.0399,0.024828,0.0285,77593,USD
2019-12-08,0.0285,0.033932,0.023845,0.02408,15357,USD
2019-12-15,0.02408,0.029268,0.018394,0.021183,31010,USD
2019-12-22,0.021183,0.03,0.018411,0.03,27453,USD
2019-12-29,0.03,0.03,0.026,0.026021,13200,USD
2020-01-05,0.028096,0.035,0.025968,0.029899,17856,USD
2020-01-12,0.029899,0.035,0.025999,0.029235,12269,USD
2020-01-19,0.029235,0.030296,0.02354,0.026735,21734,USD
2020-01-26,0.026735,0.03484,0.023,0.028783,33707,USD
2020-02-02,0.028783,0.032,0.028783,0.032,9785,USD
2020-02-09,0.032,0.043,0.028132,0.035143,42788,USD
2020-02-16,0.035143,0.035368,0.030296,0.032607,11240,USD
2020-02-23,0.032607,0.0375,0.028132,0.030741,12824,USD
2020-03-01,0.028132,0.033932,0.028132,0.031909,4566,USD
2020-03-08,0.031909,0.031909,0.019476,0.020862,14359,USD
