Date,Open,High,Low,Close,Volume,Currency
2018-03-04,0.013436,0.014112,0.009539,0.009588,0,USD
2018-03-11,0.009588,0.011558,0.008678,0.009169,0,USD
2018-03-18,0.009169,0.009945,0.008365,0.009187,0,USD
2018-03-25,0.009187,0.020889,0.007302,0.007687,0,USD
2018-04-01,0.007687,0.014411,0.007295,0.007404,0,USD
2018-04-08,0.007404,0.008924,0.006879,0.008686,0,USD
2018-04-15,0.008686,0.009941,0.008492,0.009627,0,USD
2018-04-22,0.009627,0.011316,0.008164,0.009573,0,USD
2018-04-29,0.009573,0.011234,0.008446,0.010444,0,USD
2018-05-06,0.010457,0.010562,1e-06,0.008117,0,USD
2018-05-13,0.008136,0.0085,0.007266,0.007292,0,USD
2018-05-20,0.007292,0.007682,0.006523,0.006558,0,USD
2018-05-27,0.00656,0.007535,0.006344,0.007485,0,USD
2018-06-03,0.00748,0.007911,0.007191,0.007459,0,USD
2018-06-10,0.007461,0.007461,0.006128,0.006453,0,USD
2018-06-17,0.006455,0.006794,0.00558,0.005814,0,USD
2018-06-24,0.005821,0.006157,0.004793,0.005305,0,USD
2018-07-01,0.005305,0.005338,0.0,0.004057,0,USD
2018-07-08,0.004057,0.004074,0.003497,0.003594,0,USD
2018-07-15,0.003594,0.004088,0.002785,0.003443,0,USD
2018-07-22,0.003443,0.003968,0.003416,0.003834,0,USD
2018-07-29,0.003803,0.003951,0.003292,0.003328,0,USD
2018-08-05,0.003328,0.003394,0.002753,0.002863,0,USD
2018-08-12,0.002863,0.00347,0.002357,0.003355,0,USD
2018-08-19,0.003355,0.003605,0.003271,0.003572,0,USD
2018-08-26,0.003572,0.003884,0.003488,0.003851,0,USD
2018-09-02,0.003851,0.003931,0.002473,0.002814,0,USD
2018-09-09,0.002814,0.003048,0.002801,0.003032,0,USD
2018-09-16,0.003032,0.003039,0.001996,0.002017,0,USD
2018-09-23,0.002017,0.002809,0.001975,0.002147,0,USD
2018-09-30,0.002147,0.002266,0.002099,0.002241,0,USD
2018-10-07,0.002241,0.002287,0.001548,0.001993,0,USD
2018-10-14,0.001993,0.002489,0.001979,0.002437,0,USD
2018-10-21,0.002437,0.002462,0.002317,0.002438,0,USD
2018-10-28,0.002438,0.002441,0.002344,0.002395,0,USD
2018-11-04,0.002395,0.002548,0.001928,0.001929,0,USD
2018-11-11,0.001929,0.002257,0.00137,0.001379,0,USD
2018-11-18,0.001379,0.001888,0.001093,0.00112,0,USD
2018-11-25,0.00112,0.001273,0.001044,0.001209,0,USD
2018-12-02,0.001209,0.001283,0.000968,0.001034,0,USD
2018-12-09,0.001034,0.001114,0.000845,0.001019,0,USD
2018-12-16,0.001019,0.001632,0.001016,0.001547,0,USD
2018-12-23,0.001547,0.001666,0.001267,0.00134,0,USD
2018-12-30,0.00134,0.001425,0.001154,0.001193,0,USD
2019-01-06,0.001193,0.002425,0.001069,0.001129,0,USD
2019-01-13,0.001129,0.001173,0.001089,0.001148,0,USD
2019-01-20,0.001148,0.001158,0.00102,0.001035,0,USD
2019-01-27,0.001035,0.001056,0.000988,0.001014,0,USD
