Date,Open,High,Low,Close,Volume,Currency
2019-07-28,0.246218,0.313328,0.214241,0.220117,189683024,USD
2019-08-04,0.219821,0.244841,0.200748,0.227863,210088288,USD
2019-08-11,0.227863,0.231756,0.18986,0.205002,225601744,USD
2019-08-18,0.205002,0.205926,0.175341,0.188322,235786976,USD
2019-08-25,0.187576,0.243217,0.125149,0.146924,213324992,USD
2019-09-01,0.146924,0.163143,0.123998,0.149315,79956096,USD
2019-09-08,0.149315,0.156291,0.128245,0.13157,37033248,USD
2019-09-15,0.131809,0.134269,0.114283,0.11765,23539108,USD
2019-09-22,0.11765,0.129356,0.072571,0.081074,35827960,USD
2019-09-29,0.081155,0.084238,0.079037,0.081186,12833933,USD
2019-10-06,0.080998,0.084144,0.073574,0.076711,16787244,USD
2019-10-13,0.076711,0.081171,0.060555,0.062556,19341456,USD
2019-10-20,0.062556,0.108895,0.049058,0.066608,37780864,USD
2019-10-27,0.066608,0.092794,0.064113,0.068387,53732428,USD
2019-11-03,0.068386,0.08187,0.066432,0.073671,39278752,USD
2019-11-10,0.073671,0.093174,0.070565,0.076857,59002768,USD
2019-11-17,0.076766,0.077264,0.049849,0.054907,29627968,USD
2019-11-24,0.054907,0.059961,0.043257,0.054127,32412940,USD
2019-12-01,0.054127,0.054593,0.049608,0.050538,20734628,USD
2019-12-08,0.050538,0.051806,0.040242,0.040603,21713624,USD
2019-12-15,0.040603,0.044539,0.037827,0.038504,34121568,USD
2019-12-22,0.038504,0.039928,0.030906,0.031811,29289670,USD
2019-12-29,0.031811,0.032581,0.024811,0.0269,29032594,USD
2020-01-05,0.0269,0.037194,0.0268,0.033002,91782832,USD
2020-01-12,0.033002,0.039172,0.030003,0.031613,92850336,USD
2020-01-19,0.031613,0.034578,0.029699,0.033265,37024184,USD
2020-01-26,0.033265,0.053148,0.03155,0.041577,167072160,USD
2020-02-02,0.041481,0.054959,0.041481,0.054276,129882456,USD
2020-02-09,0.054276,0.055471,0.042528,0.044212,112937552,USD
2020-02-16,0.044212,0.054975,0.040307,0.049108,106070832,USD
2020-02-23,0.049108,0.049698,0.038629,0.040905,75910808,USD
2020-03-01,0.040905,0.080334,0.040905,0.044813,275563328,USD
2020-03-08,0.044813,0.044816,0.013504,0.020105,268882880,USD
2020-03-15,0.020105,0.031693,0.016305,0.023701,239076224,USD
2020-03-22,0.023701,0.026198,0.020805,0.021702,139063696,USD
2020-03-29,0.021702,0.030385,0.020417,0.028099,62232904,USD
2020-04-05,0.028099,0.029399,0.024096,0.025086,125539680,USD
2020-04-12,0.025086,0.026077,0.022907,0.025209,47175112,USD
2020-04-19,0.025209,0.027397,0.022308,0.025304,51958344,USD
2020-04-26,0.025304,0.027298,0.024305,0.026103,105757176,USD
2020-05-03,0.026103,0.026604,0.024209,0.02511,49006840,USD
2020-05-10,0.02511,0.02511,0.021507,0.023805,77364816,USD
2020-05-17,0.023805,0.025699,0.022102,0.023699,63093080,USD
2020-05-24,0.023699,0.026297,0.022803,0.024597,97901584,USD
2020-05-31,0.024597,0.027097,0.023501,0.0239,109085096,USD
2020-06-07,0.0239,0.026298,0.022801,0.024598,135666768,USD
2020-06-14,0.024598,0.026199,0.022704,0.0244,181072896,USD
2020-06-21,0.0244,0.029898,0.0244,0.025401,346234112,USD
2020-06-28,0.025401,0.025799,0.023807,0.025201,102759056,USD
2020-07-05,0.025201,0.027898,0.024302,0.027301,208944256,USD
2020-07-12,0.027301,0.030194,0.026002,0.026803,281242336,USD
2020-07-19,0.026802,0.029201,0.026503,0.027103,172935424,USD
2020-07-26,0.027103,0.027698,0.025401,0.026499,121571536,USD
2020-08-02,0.026499,0.028497,0.025203,0.0274,131146000,USD
2020-08-09,0.0274,0.033693,0.026201,0.0306,451231104,USD
2020-08-16,0.0306,0.032598,0.027901,0.029103,279155552,USD
2020-08-23,0.029103,0.041798,0.026603,0.037801,292345632,USD
2020-08-30,0.037801,0.040397,0.022307,0.0232,631509888,USD
2020-09-06,0.0232,0.025897,0.022403,0.024899,209787936,USD
2020-09-13,0.024899,0.0251,0.020703,0.021797,125459872,USD
2020-09-20,0.021797,0.022697,0.017406,0.019197,102400216,USD
2020-09-27,0.019099,0.023897,0.0184,0.022999,91339872,USD
2020-10-04,0.022999,0.023099,0.018203,0.0196,110149448,USD
2020-10-11,0.0196,0.020295,0.017605,0.018202,80617632,USD
2020-10-18,0.0183,0.018496,0.0161,0.0167,99238344,USD
