gasPrice_open,gasPrice_close,gasPrice_low,gasPrice_high,tokenPrice_open,tokenPrice_close,tokenPrice_low,tokenPrice_high,txFee_open,txFee_close,txFee_low,txFee_high,avgGas,timestamp,samples
183.36,202.18,100.0,3240.53,1.42,1.42,1.38,1.45,0.06191603827683208,0.05152237909420316,0.028123539155711995,0.34368665988799996,208782.71597800002,2022-03-29T21:14:41.507Z,100
252.81,203.0,100.0,8368.53,1.43,1.47,1.4,1.47,0.1053216290301175,0.07164158535288302,0.02922940980384568,0.12284291358528333,203234.39595100013,2022-03-28T21:14:51.360Z,100
229.29,290.0,100.0,10746.55,1.46,1.41,1.41,1.48,0.044078740374921904,0.04866029353821,0.029203596704000002,2.0721611841125833,200305.27099400002,2022-03-27T21:13:13.648Z,100
231.75,327.21,100.0,5299.0,1.4,1.38,1.36,1.41,0.062729326160557,0.08035898966788914,0.02327484605052096,0.10798942215007486,217355.83116599996,2022-03-26T21:14:38.736Z,100
336.04,300.0,100.0,3500.0,1.38,1.37,1.34,1.4,0.041927124435749516,0.0761006870064,0.024749471004038112,0.13715645540659094,192311.62020800007,2022-03-25T21:14:34.487Z,100
289.6,181.43,101.0,8210.34,1.37,1.32,1.31,1.42,0.09432639023301262,0.03960934113808585,0.030257992441543684,0.24647468673492,192801.211181,2022-03-24T21:14:40.653Z,100
235.58,199.25,128.0,3500.0,1.33,1.29,1.29,1.34,0.07175957192034653,0.052395219078258747,0.037149227682210004,0.33879768484602685,188228.00426499994,2022-03-23T21:14:03.707Z,100
183.6,377.72,100.0,7100.0,1.29,1.29,1.26,1.31,0.04909151867138499,0.09415239739991821,0.0310930357723128,0.19447132096497924,231220.663544,2022-03-22T21:14:39.023Z,100
400.89,267.0,100.0,5620.95,1.29,1.25,1.25,1.32,0.09910900493113384,0.085961033512125,0.03259965070372248,0.26025179232000006,222567.15064999982,2022-03-21T21:14:22.938Z,100
169.72,219.22,100.0,10102.0,1.26,1.25,1.2,1.3,0.06068445406412256,0.048528432356517506,0.02149920165541302,1.914922046944,223438.03237000006,2022-03-20T21:14:42.617Z,100
238.51,156.12,100.0,10300.0,1.25,1.32,1.25,1.33,0.08268774781954501,0.06130729101141217,0.025926915150765,0.10844413630720273,265132.43277600006,2022-03-19T21:14:20.414Z,100
185.83,178.17,100.0,4319.34,1.31,1.25,1.24,1.34,0.06094360268597068,0.04907489981624999,0.021284184233029763,0.281385280266,231962.82985500002,2022-03-18T21:14:47.114Z,100
191.17,197.99,100.0,6160.5,1.25,1.2,1.18,1.27,0.05961966140718751,0.0453780476669364,0.027039799685955,0.9252106997224,236961.28655200003,2022-03-17T21:14:42.969Z,100
200.21,2068.5,100.0,15939.76,1.21,1.25,1.21,1.27,0.04872529066318914,0.26409253054931253,0.031313359151424996,0.30872168017618795,215680.294708,2022-03-16T21:14:19.369Z,100
353.66,334.37,100.0,10000.0,1.25,1.18,1.15,1.25,0.11288512315236,0.08643424459994989,0.0350226237063816,0.22383530155127698,228412.460943,2022-03-15T21:14:07.251Z,100
333.09,379.83,100.0,10000.0,1.19,1.046,1.041,1.23,0.1040882120607546,0.08882801786074096,0.03316547149727737,1.3817630910718797,231319.2580389999,2022-03-14T21:14:19.439Z,100
606.78,210.7,100.0,12000.0,1.046,1.18,1.041,1.18,0.09631833160874483,0.0523211361884792,0.026087999282500104,1.1075880205818187,206637.10714600008,2022-03-13T21:14:09.987Z,100
194.81,296.15,100.0,10000.0,1.18,1.22,1.17,1.22,0.07016286820353274,0.0921184850119709,0.031257161594972015,1.39620823489,236689.6630020001,2022-03-12T21:14:10.510Z,100
322.94,522.88,105.34,2600.0,1.22,1.2,1.2,1.26,0.08237349163749173,0.10688660736837119,0.0343921928029722,0.285961809067788,219024.4636089999,2022-03-11T21:14:26.735Z,100
466.59,470.0,100.0,13310.0,1.19,1.25,1.15,1.26,0.06161260103537847,0.199084364615,0.04573026986373075,0.87622527195,244907.0872770001,2022-03-10T21:14:27.965Z,100
375.57,329.79,183.96,8198.47,1.26,1.35,1.23,1.37,0.10949763433959503,0.05645781964030006,0.055142705919225675,2.2376379601554697,207166.00053100006,2022-03-09T21:14:07.152Z,100
356.86,815.72,110.0,9654.59,1.34,1.33,1.32,1.42,0.09726304695445634,0.2213578830930301,0.04499037971853172,0.9746720518614966,200953.05305999998,2022-03-08T21:14:19.052Z,100
1135.54,800.41,100.0,25000.0,1.33,1.32,1.31,1.38,0.21995153544879203,0.24210280377129137,0.0425314061964,0.45539400654000006,179127.50229999985,2022-03-07T21:26:44.953Z,100
964.78,737.26,105.32,16789.0,1.31,1.43,1.31,1.46,0.2963126722429671,0.161485850928974,0.049595861984196785,0.44361260560089943,183661.862782,2022-03-06T21:14:52.766Z,100
808.19,670.01,111.1,30782.91,1.43,1.7,1.4,1.71,0.1634771062925,0.18304188314433012,0.036900261724788,2.0814575913267785,185462.76379200004,2022-03-05T21:14:58.348Z,100
400.79,384.95,100.0,3000.0,1.7,1.68,1.62,1.7,0.11851262103114699,0.138970242508146,0.048762783093486,0.21152410885172562,203951.58065299995,2022-03-04T21:14:15.009Z,100
391.92,240.41,100.0,5000.0,1.68,1.85,1.66,1.88,0.09938262472020962,0.09463156372186407,0.06862402236741381,0.25129052104581007,188807.1372660001,2022-03-03T21:14:59.858Z,100
250.44,816.76,150.98,9050.0,1.84,1.99,1.83,2.03,0.17722024485861027,0.4282272225170859,0.10314720253120102,1.1194524403425439,172666.35517600007,2022-03-02T21:14:32.448Z,100
800.0,391.84,100.0,12123.96,1.98,1.84,1.79,2.07,0.3595617967796554,0.1966223519904845,0.09355456159810736,0.7239482140804057,162334.52554199996,2022-03-01T21:14:17.804Z,100
519.72,1406.0,100.0,16000.0,1.84,1.72,1.71,1.93,0.2216586507434048,0.45456525481320803,0.07949519794598402,0.6745259197448539,187496.58667400002,2022-02-28T21:14:23.189Z,100
987.91,2004.37,100.0,5000.0,1.72,1.6,1.56,1.73,0.2946628451772623,0.39096778066215365,0.07384100002560001,0.5578937516830501,171565.83941000004,2022-02-27T21:14:28.010Z,100
1166.57,1190.22,230.93,10000.0,1.61,1.8,1.59,1.81,0.275411844870435,0.3870440196272784,0.08046456535150384,1.242638329365,169784.64096000002,2022-02-26T21:14:28.263Z,100
1223.75,5051.48,100.0,5205.37,1.79,1.64,1.64,1.79,0.25499854141558553,1.238279573414567,0.0959746548912131,1.238279573414567,166556.10279,2022-02-25T21:14:15.447Z,100
755.24,1849.18,293.13,15000.0,1.64,1.51,1.47,1.66,0.29529536388091987,0.3061492417120854,0.206655014132675,0.8067771401624714,136526.33344,2022-02-24T21:14:28.400Z,100
1755.14,1181.15,144.66,22100.0,1.52,1.64,1.31,1.64,0.44104810782911635,0.25286498324639783,0.20838656944498837,0.802823259835046,134707.63514,2022-02-23T21:14:17.084Z,100
940.72,238.34,112.0,9050.0,1.63,1.57,1.56,1.72,0.2563959138489311,0.07370987032866147,0.058176001718761694,0.6555760566668843,155383.614255,2022-02-22T21:14:31.906Z,100
269.82,399.79,112.0,6764.24,1.57,1.68,1.5,1.68,0.06985139341958548,0.1220717113598472,0.038880517081252,0.43142954247273296,171083.84167099997,2022-02-21T21:14:56.966Z,100
595.03,154.09,110.98,26487.47,1.68,1.72,1.66,1.81,0.14901086396924781,0.06460668516415044,0.04365131065022385,2.972572178647171,169481.93635400003,2022-02-20T21:14:59.713Z,100
